used time:14.118725681304932,step:240,loss:12.188514709472656,mse_loss:1.5364673137664795
used time:14.288450221220652,step:241,loss:13.92280387878418,mse_loss:1.4252392053604126
used time:14.452352333068848,step:242,loss:10.545855522155762,mse_loss:1.3542240858078003
used time:14.61439381837845,step:243,loss:16.547771453857422,mse_loss:1.5911351442337036
used time:14.767170941829681,step:244,loss:9.951888084411621,mse_loss:1.5467387437820435
used time:14.922155094146728,step:245,loss:14.817898750305176,mse_loss:1.4763253927230835
used time:15.076005884011586,step:246,loss:28.852231979370117,mse_loss:1.4972275495529175
used time:15.247637828191122,step:247,loss:16.890180587768555,mse_loss:1.3985623121261597
used time:15.415093219280243,step:248,loss:12.23816204071045,mse_loss:1.567514181137085
used time:15.569331045945486,step:249,loss:16.057771682739258,mse_loss:1.5233433246612549
used time:15.748083325227102,step:250,loss:16.197254180908203,mse_loss:1.4199771881103516
used time:16.02470784187317,step:251,loss:25.138317108154297,mse_loss:1.4321730136871338
used time:16.184432586034138,step:252,loss:24.75437355041504,mse_loss:1.484413981437683
used time:16.367422330379487,step:253,loss:18.65703582763672,mse_loss:1.4884710311889648
used time:16.535385143756866,step:254,loss:9.93576431274414,mse_loss:1.5309702157974243
used time:16.70409801006317,step:255,loss:26.279756546020508,mse_loss:1.5391677618026733
used time:16.89410698413849,step:256,loss:12.699536323547363,mse_loss:1.392828345298767
used time:17.08362570206324,step:257,loss:19.01397132873535,mse_loss:1.3442306518554688
used time:17.23859421014786,step:258,loss:19.444042205810547,mse_loss:1.6104929447174072
used time:17.394978137811027,step:259,loss:11.281411170959473,mse_loss:1.541701316833496
used time:17.564883132775623,step:260,loss:8.994821548461914,mse_loss:1.5495771169662476
used time:17.735938914616902,step:261,loss:13.884608268737793,mse_loss:1.4839398860931396
used time:17.931460948785148,step:262,loss:11.947611808776855,mse_loss:1.619767427444458
used time:18.112300686041515,step:263,loss:15.903385162353516,mse_loss:1.4277446269989014
used time:18.29334293603897,step:264,loss:13.629053115844727,mse_loss:1.4515678882598877
used time:18.454124196370444,step:265,loss:22.451322555541992,mse_loss:1.4792495965957642
used time:18.614859275023143,step:266,loss:25.012575149536133,mse_loss:1.4937556982040405
used time:18.786525674661,step:267,loss:12.553627014160156,mse_loss:1.5057531595230103
used time:18.968876898288727,step:268,loss:15.59673023223877,mse_loss:1.502280354499817
used time:19.438493088881174,step:270,loss:17.066110610961914,mse_loss:1.4793606996536255
used time:19.61522344350815,step:271,loss:9.588313102722168,mse_loss:1.4450782537460327
used time:19.80510061979294,step:272,loss:21.67856788635254,mse_loss:1.3494340181350708
